VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00124,26391,7772,0,2973,1456,16260,5142,21446,5284,18739,6778,2821,0,232,870,1306,3313,6897,13452,1325,10970,6308,5830,14494,7033,12455,3430,9240,0,0,4772,0
VTX00125,0,8,0,0,0,0,0,0,0,0,0,0,283,0,0,3,0,21,0,339,0,0,0,0,0,0,0,0,1473,0,0,0
VTX00126,0,6069,0,751,7800,124,211,118,0,359,0,2497,0,0,0,0,0,2847,345,1294,73,199,978,5,0,222,5,0,0,0,0,0
VTX00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00130,0,1,0,0,0,0,0,0,733,0,0,0,0,0,0,2406,0,0,518,1,0,0,0,0,0,0,0,0,7869,0,0,1553
VTX00132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,289
VTX00140,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,944,0,0,0,0,0,0,0,0,0,0,0,1,2,0,45
VTX00142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
VTX00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
VTX00148,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,2,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0
VTX00153,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1931
VTX00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
