SampleID,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00105,0,0,0,0,1276,25,286,5,0,26,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00113,0,0,9,0,6,14,14,0,12,10,28,0,18,110,146,103,1,11,15,11,35,73,220,28,32,50,44,1,98,340,13,186
CL00157,958,16,0,10,0,0,0,0,0,0,0,4,0,0,0,0,47,483,0,85,0,0,0,0,1,0,0,0,0,0,0,0
CL00139,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,600,0,0,0,0,0,4,0,0,0,147,825,0,0,0,0
CL00120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1078,0,0,0,0,13,484,0,0,0,0
CL00116,0,0,0,0,0,0,0,0,0,0,0,1,23,156,11,582,0,0,0,0,0,0,0,0,0,0,0,5,448,169,21,154
CL00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,0
CL00109,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
CL00121,0,0,0,1,42,248,10,7,42,135,2,6,0,1,9,0,1,0,3,1,411,255,138,70,76,0,26,1,0,0,3,1
CL00135,0,8,13,15,2,9,1,26,14,89,6,29,0,1,2,0,255,78,229,98,23,111,82,71,82,28,75,131,0,0,10,0
CL00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,0
CL00129,0,0,0,1,0,3,0,3,5,0,0,12,0,0,20,0,12,0,0,0,4,430,2,33,52,10,841,18,0,0,1,0
CL00142,51,36,14,54,0,0,0,0,0,0,1,0,4,125,13,103,462,82,249,77,0,0,0,0,0,0,0,0,92,58,17,5
CL00132,0,146,0,22,0,347,0,26,34,101,51,42,62,2,0,0,56,58,5,2,48,27,19,53,104,92,40,82,0,0,15,0
CL00141,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,794,0,0,231,0,28,0,0,62,44,0,0,0,0
CL00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1407,0,0,0,0,0,0,0,0,0,0
CL00138,25,56,0,31,0,3,0,46,92,151,40,69,0,0,0,0,5,111,191,27,0,10,3,14,76,69,175,196,0,0,0,0
CL00131,6,24,70,22,16,80,64,116,12,16,4,23,3,0,3,0,8,27,13,4,227,402,107,108,9,5,3,4,0,0,2,0
CL00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0
CL00155,0,0,0,0,0,0,0,44,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,1290,1,0,0,0,0,0,0,0
CL00148,24,66,0,105,5,4,79,19,12,24,4,9,0,14,61,0,374,69,105,94,30,35,54,27,12,3,0,0,0,11,125,4
CL00153,0,0,0,0,1,177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,157,12,952,0,0,0,0,0,0,0,0
CL00117,0,0,0,0,2,0,0,0,4,0,1316,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,5,0,0,0,0,0
CL00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,0
CL00127,0,0,7,1,0,3,0,0,0,9,3,0,65,238,62,68,5,0,2,2,0,0,0,0,0,0,0,5,281,426,99,51
CL00163,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00146,0,83,0,441,0,0,0,0,108,0,0,0,0,0,486,0,0,79,0,17,0,0,0,0,0,0,66,0,0,0,20,2
CL00166,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0
CL00200,913,223,25,31,0,1,0,0,0,0,0,0,0,0,0,0,17,26,35,13,0,0,0,0,0,0,0,0,0,0,0,0
CL00143,0,0,8,9,8,433,5,27,4,67,0,9,0,0,0,0,25,36,15,15,205,73,41,89,48,24,16,123,0,0,0,0
CL00149,0,0,0,3,12,132,54,46,0,55,0,3,0,9,0,0,0,0,0,0,94,145,446,166,3,0,5,97,0,1,0,0
CL00144,0,0,0,0,0,13,0,80,21,70,67,348,0,0,0,0,0,0,0,0,0,15,0,78,190,91,103,182,0,0,0,4
CL00147,4,22,17,0,20,10,3,3,4,54,3,24,47,131,6,32,75,34,0,2,17,74,139,35,40,26,27,197,97,79,15,16
CL00156,24,2,2,5,7,38,12,35,5,27,17,2,33,58,40,106,83,2,15,35,39,33,41,15,199,7,22,0,127,90,52,62
CL00136,0,0,0,0,0,0,0,0,0,0,2,0,56,513,48,79,0,0,0,1,0,0,0,0,0,21,0,0,11,258,193,51
CL00122,0,0,0,0,0,0,0,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
CL00183,0,12,3,13,0,0,0,0,0,0,0,0,9,45,2,6,185,60,559,115,0,0,0,3,0,8,0,0,148,35,0,28
CL00145,0,0,0,0,0,0,0,0,0,0,0,0,14,200,35,257,0,0,0,0,0,0,0,0,0,0,0,0,422,126,93,76
CL00137,0,0,0,0,1,0,0,0,7,1112,0,1,0,0,0,0,0,0,0,0,0,4,8,0,48,8,5,27,0,0,0,0
CL00170,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00239,1127,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00176,0,0,0,0,0,0,0,0,0,0,88,4,142,0,45,0,0,665,0,0,0,0,0,0,22,110,134,0,0,0,0,0
CL00164,0,11,0,340,0,31,3,4,1,190,16,4,0,10,22,0,0,16,0,12,19,12,3,45,29,5,71,362,0,0,0,0
CL00125,0,5,0,23,0,0,0,0,1,2,1049,4,0,0,1,13,16,4,46,9,16,6,0,0,2,5,0,0,0,1,0,0
CL00140,0,0,0,0,0,266,0,0,0,161,1,730,0,0,0,0,12,0,0,0,0,0,0,0,5,0,11,0,0,0,8,2
CL00195,199,51,33,143,0,0,0,0,0,0,0,0,0,0,0,0,50,416,240,51,0,0,0,0,0,0,0,0,0,0,11,0
