OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00200,913,223,25,31,0,1,0,0,0,0,0,0,0,0,0,0,17,26,35,13,0,0,0,0,0,0,0,0,0,0,0,0
CL00202,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00205,0,0,0,0,22,5,0,102,0,0,3,54,0,0,0,0,0,10,0,0,95,180,56,317,57,71,0,13,0,0,0,0
CL00207,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00213,0,0,0,0,0,3,2,26,41,68,37,94,6,0,78,12,0,1,0,0,0,6,73,39,139,53,71,134,0,0,19,0
CL00214,7,0,15,3,0,0,0,0,3,0,0,0,0,0,7,0,132,40,675,29,0,0,0,0,0,0,12,0,162,15,1,0
CL00215,0,0,0,0,0,0,0,0,0,0,0,0,0,440,4,30,11,6,5,3,8,10,0,3,0,0,2,10,90,104,0,71
CL00216,0,4,0,0,16,24,62,10,5,55,5,6,0,0,14,0,0,0,0,0,10,33,212,448,19,0,9,15,0,6,0,0
CL00219,0,0,0,0,13,101,581,16,0,10,0,0,0,0,63,0,0,0,0,0,56,43,40,4,0,0,0,0,0,0,0,0
CL00221,6,31,46,107,0,0,0,0,0,0,1,0,140,0,122,122,6,110,6,93,0,0,0,0,3,20,4,0,50,0,5,9
CL00224,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,2,0,0,0,0,129,0,0,0,0,0,0,0,1,0,5,33
CL00225,5,22,0,0,65,46,153,14,0,22,2,14,0,0,72,0,15,6,5,14,62,51,51,86,0,12,12,170,0,0,0,0
CL00227,5,854,2,12,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,947,0,3,0,0,0,0
CL00232,0,3,0,0,3,0,31,0,2,0,3,0,52,58,3,24,2,0,1,0,0,0,345,168,0,0,0,80,52,52,28,10
CL00235,12,4,1,22,0,0,0,0,1,0,0,0,3,25,62,17,118,79,39,57,0,0,0,0,0,6,15,0,15,92,328,48
CL00240,29,11,0,117,0,9,25,9,5,73,19,29,27,27,16,35,35,11,83,76,3,0,20,8,34,23,21,61,9,21,14,8
CL00241,0,9,0,12,0,0,0,2,41,7,11,3,69,111,24,47,14,18,59,19,1,2,26,20,4,76,8,116,0,28,44,55
CL00245,63,7,0,155,0,9,6,12,16,233,1,13,0,0,3,3,131,15,50,6,23,0,17,0,20,2,16,32,1,0,0,7
CL00249,0,56,0,2,0,0,0,0,5,0,0,0,14,9,95,94,49,150,5,7,0,0,0,0,0,0,97,0,12,4,218,18
CL00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,44,0,0,843
CL00254,102,10,51,23,182,4,85,13,8,4,0,1,0,9,0,7,6,8,69,6,42,25,56,26,0,9,9,20,0,23,0,0
CL00255,0,0,0,0,0,0,0,0,0,62,0,0,63,367,14,18,0,13,0,0,35,5,39,0,2,0,5,0,7,18,30,26
CL00258,3,11,5,3,0,0,0,0,9,24,1,0,0,44,18,42,149,36,52,139,0,1,1,4,1,16,7,39,36,44,33,60
CL00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0
CL00266,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0
CL00269,0,2,6,2,0,4,0,12,4,0,0,2,0,1,7,1,61,152,0,13,4,3,12,12,12,0,13,29,3,1,15,441
CL00273,0,0,12,5,0,0,8,0,4,10,1,5,117,34,2,9,0,12,48,20,9,12,56,10,27,65,7,3,129,34,63,18
CL00274,0,2,0,0,7,3,36,13,240,31,4,2,13,11,15,33,0,1,10,5,0,14,3,13,0,1,4,68,31,27,18,18
CL00276,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,9,1,0,0,0,0,0
CL00292,0,0,0,13,1,4,0,1,17,19,32,1,7,0,205,104,0,0,0,0,41,28,3,23,0,58,0,52,4,0,2,30
CL00293,0,0,0,0,2,4,16,1,0,4,5,6,35,159,2,0,0,2,1,0,20,6,24,26,20,15,0,25,66,75,69,32
CL00296,9,3,0,16,0,1,26,2,1,1,3,0,0,0,0,0,77,13,33,69,2,3,5,4,7,3,18,406,0,0,2,0
CL00298,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,190,0,11,485,2,0,3,3,0,0,2,2,0,0,0,0
